Cor;legado
38-ESTAMPADA      ;38-ESTAMPADA      
37-ESTAMPADA      ;37-ESTAMPADA      
36-ESTAMPADA      ;36-ESTAMPADA      
35-ESTAMPADA      ;35-ESTAMPADA      
34-ESTAMPADA      ;34-ESTAMPADA      
32-ESTAMPADA      ;32-ESTAMPADA      
42-ESTAMPADA      ;42-ESTAMPADA      
5463-ESTAMPADA      ;5463-ESTAMPADA      
5462-ESTAMPADA      ;5462-ESTAMPADA      
5461-ESTAMPADA      ;5461-ESTAMPADA      
5460-ESTAMPADA      ;5460-ESTAMPADA      
5459-ESTAMPADA      ;5459-ESTAMPADA      
5458-ESTAMPADA      ;5458-ESTAMPADA      
5456-ESTAMPADA      ;5456-ESTAMPADA      
5528-ESTAMPADA      ;5528-ESTAMPADA      
5457-ESTAMPADA      ;5457-ESTAMPADA      
5487-ESTAMPADA      ;5487-ESTAMPADA      
5524-ESTAMPADA      ;5524-ESTAMPADA      
5455-ESTAMPADA      ;5455-ESTAMPADA      
5527-ESTAMPADA      ;5527-ESTAMPADA      
5449-ESTAMPADA      ;5449-ESTAMPADA      
5529-ESTAMPADA      ;5529-ESTAMPADA      
5530-ESTAMPADA      ;5530-ESTAMPADA      
5531-ESTAMPADA      ;5531-ESTAMPADA      
5532-ESTAMPADA      ;5532-ESTAMPADA      
5526-ESTAMPADA      ;5526-ESTAMPADA      
5445-ESTAMPADA      ;5445-ESTAMPADA      
5100-ESTAMPADA      ;5100-ESTAMPADA      
5101-ESTAMPADA      ;5101-ESTAMPADA      
5102-ESTAMPADA      ;5102-ESTAMPADA      
5103-ESTAMPADA      ;5103-ESTAMPADA      
5104-ESTAMPADA      ;5104-ESTAMPADA      
5105-ESTAMPADA      ;5105-ESTAMPADA      
5106-ESTAMPADA      ;5106-ESTAMPADA      
5107-ESTAMPADA      ;5107-ESTAMPADA      
5451-ESTAMPADA      ;5451-ESTAMPADA      
5444-ESTAMPADA      ;5444-ESTAMPADA      
5454-ESTAMPADA      ;5454-ESTAMPADA      
5446-ESTAMPADA      ;5446-ESTAMPADA      
1-BRANCO;1-BRANCO
6-SALMAO;6-SALMAO
9-MARFIM;9-MARFIM
0-CRU(IMPORTADO);0-CRU(IMPORTADO)
65-VERDE;65-VERDE
99-DIVERSAS;99-DIVERSAS
98-DIVERSAS II;98-DIVERSAS II
97-PINK;97-PINK
96-GRAFITE;96-GRAFITE
86-VERDE MACA;86-VERDE MACA
72-MARROM;72-MARROM
70-AZUL;70-AZUL
66-LARANJA;66-LARANJA
60-LILAS;60-LILAS
22-PRATA;22-PRATA
13-SALMAO II;13-SALMAO II
15-ROSA III;15-ROSA III
68-VERDE BANDEIRA ;68-VERDE BANDEIRA 
20-AMARELO        ;20-AMARELO        
47-MOSTARDA;47-MOSTARDA
23-BEGE II        ;23-BEGE II        
34-ROYAL          ;34-ROYAL          
42-VERMELHO;42-VERMELHO
45-PRETO;45-PRETO
18-CHA;18-CHA
2-UNICA;2-UNICA
35-CRU;35-CRU
98-CRU;98-CRU
1-BRANCO/PRETO;1-BRANCO/PRETO
9-MARFIM/MARROM;9-MARFIM/MARROM
6-MARROM;6-MARROM
8-PRETO;8-PRETO
9-CARAMELO;9-CARAMELO
7-CHOCOLATE;7-CHOCOLATE
4-OCRE;4-OCRE
3-BEGE;3-BEGE
5-TERRA;5-TERRA
2-AREIA;2-AREIA
1-MARFIM;1-MARFIM
21-ACQUA;21-ACQUA
17-CINZA;17-CINZA
24-ROSE;24-ROSE
22-CITRON;22-CITRON
20-VERDE I;20-VERDE I
19-GRAFITE;19-GRAFITE
18-AUBERGINE;18-AUBERGINE
15-VERDE;15-VERDE
14-VERMELHO;14-VERMELHO
13-CASTOR;13-CASTOR
12-VERDE FENDI;12-VERDE FENDI
23-PRATA;23-PRATA
11-MARROM II;11-MARROM II
16-PEROLA;16-PEROLA
10-CAMURCA;10-CAMURCA
5-MOSTARDA;5-MOSTARDA
7-FUJI;7-FUJI
8-AZUL;8-AZUL
6-SAFARI;6-SAFARI
3-MARFIM;3-MARFIM
9-ROXO;9-ROXO
2-PRATA;2-PRATA
4-BEGE;4-BEGE
15-PRETO;15-PRETO
12-CHOCOLATE;12-CHOCOLATE
11-ARAGON;11-ARAGON
10-LILAS;10-LILAS
13-OURO;13-OURO
16-VERDE;16-VERDE
2-PRETO;2-PRETO
3-MARROM;3-MARROM
2-LARANJA;2-LARANJA
1-PALHA;1-PALHA
6-CHOCOLATE;6-CHOCOLATE
8-VERMELHO;8-VERMELHO
9-OURO;9-OURO
7-TIJOLO;7-TIJOLO
5-FUJI;5-FUJI
4-SAFARI;4-SAFARI
3-CREME;3-CREME
2-BEGE;2-BEGE
97-ACQUA;97-ACQUA
22-VERDE II;22-VERDE II
23-AMETISTA;23-AMETISTA
24-AUBERGINE;24-AUBERGINE
25-AZUL MAYORCA;25-AZUL MAYORCA
26-CINZA;26-CINZA
95-MARINHO;95-MARINHO
98-PURGADO;98-PURGADO
21-CHA VERDE;21-CHA VERDE
96-AZUL;96-AZUL
13-ROXO;13-ROXO
11-VERDE;11-VERDE
20-VERMELHO II;20-VERMELHO II
12-LILAS;12-LILAS
14-AZUL;14-AZUL
15-PRATA;15-PRATA
16-PRETO;16-PRETO
17-OLIVA;17-OLIVA
18-PALHA;18-PALHA
19-OCRE QUEIMADO;19-OCRE QUEIMADO
10-LARANJA;10-LARANJA
30-VERMELHO II;30-VERMELHO II
27-ROSA;27-ROSA
23-AUBERGINE;23-AUBERGINE
24-AMETISTA;24-AMETISTA
25-VERDE II;25-VERDE II
26-PALHA;26-PALHA
28-CHA VERDE;28-CHA VERDE
29-OCRE;29-OCRE
31-MESCLA;31-MESCLA
33-ROSE;33-ROSE
22-AMARELO;22-AMARELO
21-AZUL II;21-AZUL II
32-ROSA VELHO;32-ROSA VELHO
16-AZUL II;16-AZUL II
18-CINZA;18-CINZA
19-CINZA II;19-CINZA II
20-MARLIN;20-MARLIN
7-OCRE;7-OCRE
10-CINZA;10-CINZA
35-VERMELHO II;35-VERMELHO II
67-CENOURA;67-CENOURA
39-CHA II;39-CHA II
38-VERDE IV;38-VERDE IV
36-VERDE ESCURO;36-VERDE ESCURO
34-CHOCOLATE II;34-CHOCOLATE II
17-AUBERGINE;17-AUBERGINE
11-AZUL MAYORCA;11-AZUL MAYORCA
5-VERDE AGUA;5-VERDE AGUA
26-LARANJA II;26-LARANJA II
7-ROSE;7-ROSE
8-VERDE;8-VERDE
6-CAMURCA;6-CAMURCA
5-MARROM;5-MARROM
4-GRAFITE;4-GRAFITE
3-CINZA;3-CINZA
2-RATO;2-RATO
1-BEGE;1-BEGE
9-PRETO;9-PRETO
13-AVELA;13-AVELA
14-CAFE;14-CAFE
12-AZUL NOITE;12-AZUL NOITE
11-VERMELHO;11-VERMELHO
10-AZUL;10-AZUL
24-OCRE II;24-OCRE II
61-ROXO;61-ROXO
37-MANGUE;37-MANGUE
30-AZUL MARINHO;30-AZUL MARINHO
35-UNICA;35-UNICA
1-PRATA;1-PRATA
3-AREIA;3-AREIA
4-PALHA;4-PALHA
7-AVELA;7-AVELA
5-VERDE;5-VERDE
7-PRETO;7-PRETO
3-PRATA;3-PRATA
2-AZUL;2-AZUL
23-BEGE II;23-BEGE II
6-AZUL;6-AZUL
7-VERMELHO;7-VERMELHO
5-AUBERGINE;5-AUBERGINE
4-ROSE;4-ROSE
3-PRETO;3-PRETO
1-FENDI;1-FENDI
8-BEGE II;8-BEGE II
25-CAPUCCINO;25-CAPUCCINO
31-OURO VELHO;31-OURO VELHO
27-MADEIRA;27-MADEIRA
6-CINZA;6-CINZA
9-VERMELHO;9-VERMELHO
7-CINZA II;7-CINZA II
4-GELO;4-GELO
10-VERDE;10-VERDE
7-ARAGON;7-ARAGON
5-MARROM CLARO;5-MARROM CLARO
79-ROSE;79-ROSE
78-CHAMPAGNE;78-CHAMPAGNE
77-ROSA II;77-ROSA II
76-INDIGO;76-INDIGO
75-TIZA;75-TIZA
74-VERDE FOLHA;74-VERDE FOLHA
72-ROSA BEBE;72-ROSA BEBE
70-ROYAL ESCURO;70-ROYAL ESCURO
69-CINZA II;69-CINZA II
68-VERDE BANDEIRA;68-VERDE BANDEIRA
82-CAPUCCINO;82-CAPUCCINO
64-FUJI;64-FUJI
63-WINE;63-WINE
62-VERMELHO;62-VERMELHO
60-VERDE ESCURO;60-VERDE ESCURO
59-FERRUGEM;59-FERRUGEM
58-LARANJA CLARO;58-LARANJA CLARO
67-FUME;67-FUME
90-BRIQUE;90-BRIQUE
55-LILAS;55-LILAS
95-ARGENTO;95-ARGENTO
94-LILAS B;94-LILAS B
93-LILAS A;93-LILAS A
80-ROSA VELHO;80-ROSA VELHO
91-AMEIXA;91-AMEIXA
81-CAFE;81-CAFE
89-TIJOLO;89-TIJOLO
88-LACA;88-LACA
87-FENDI;87-FENDI
85-CANARIO;85-CANARIO
84-OLIVA;84-OLIVA
83-CHOCOLATE;83-CHOCOLATE
71-AZUL BEBE;71-AZUL BEBE
92-VIOLETA;92-VIOLETA
17-AZUL CLARO;17-AZUL CLARO
29-FOLHA SECA;29-FOLHA SECA
28-PEROLA;28-PEROLA
20-AMARELO;20-AMARELO
14-VERDE LIMAO;14-VERDE LIMAO
73-VERDE CLARO;73-VERDE CLARO
54-TRIGO;54-TRIGO
19-VERDE GREEN;19-VERDE GREEN
41-TOMATE;41-TOMATE
53-PAPAIA;53-PAPAIA
52-CENOURA II;52-CENOURA II
46-AZUL CARBONO;46-AZUL CARBONO
44-CAMURCA;44-CAMURCA
25-OURO;25-OURO
42-TERRA;42-TERRA
40-ROSA VELHO II;40-ROSA VELHO II
39-BCO;39-BCO
33-VERDE OLIVA;33-VERDE OLIVA
36-OURO II;36-OURO II
35-BORDO;35-BORDO
34-ROYAL;34-ROYAL
38-AMARELO BANDEIR;38-AMARELO BANDEIR
43-LILAS;43-LILAS
32-UVA;32-UVA
6-OLIVA;6-OLIVA
9-BRIQUE;9-BRIQUE
5-BEGE;5-BEGE
4-CAPUCCINO;4-CAPUCCINO
3-CAFE;3-CAFE
2-INDIGO;2-INDIGO
0-CRU;0-CRU
8-LACA;8-LACA
21-BEGE II;21-BEGE II
22-PRETO;22-PRETO
24-GRAFITE II;24-GRAFITE II
25-PRATA;25-PRATA
26-SANGUE;26-SANGUE
27-ROSE;27-ROSE
20-MOSTARDA;20-MOSTARDA
28-VINHO;28-VINHO
10-AMEIXA;10-AMEIXA
88-AZUL TIFFANY;88-AZUL TIFFANY
11-VIOLETA;11-VIOLETA
12-LILAS A;12-LILAS A
13-LILAS B;13-LILAS B
15-GRAFITE;15-GRAFITE
16-KAKI;16-KAKI
17-ROSE;17-ROSE
